2026-06-07 04:25:05.079 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 10km/h
2026-06-07 04:25:30.000 +03:00 [INF] Collision between corp14x3 (30) and Traffic 19 (19), rel. speed 6km/h
2026-06-07 04:25:54.439 +03:00 [DBG] Car 12 reached spline end, despawning
2026-06-07 04:26:04.784 +03:00 [DBG] Car 8 reached spline end, despawning
2026-06-07 04:26:13.820 +03:00 [DBG] Car 27 reached spline end, despawning
2026-06-07 04:26:20.817 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:26:21.362 +03:00 [DBG] Car 29 reached spline end, despawning
2026-06-07 04:26:45.963 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 20km/h
2026-06-07 04:26:48.051 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 6km/h
2026-06-07 04:26:52.911 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 9km/h
2026-06-07 04:26:56.331 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 2km/h
2026-06-07 04:27:45.686 +03:00 [DBG] Car 6 reached spline end, despawning
2026-06-07 04:27:45.779 +03:00 [DBG] Car 24 reached spline end, despawning
2026-06-07 04:27:47.090 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 123km/h
2026-06-07 04:27:54.447 +03:00 [DBG] Received clean exit from corp14x3 (30)
2026-06-07 04:27:54.449 +03:00 [DBG] Disconnecting corp14x3 (76561199521796457 - 212.154.2.0:65439)
2026-06-07 04:27:54.450 +03:00 [INF] corp14x3 has disconnected
2026-06-07 04:27:54.956 +03:00 [DBG] Car 25 reached spline end, despawning
2026-06-07 04:28:00.570 +03:00 [DBG] Car 2 reached spline end, despawning
2026-06-07 04:28:10.297 +03:00 [DBG] Car 21 reached spline end, despawning
2026-06-07 04:28:15.421 +03:00 [DBG] Car 19 reached spline end, despawning
2026-06-07 04:28:33.777 +03:00 [DBG] Car 24 reached spline end, despawning
2026-06-07 04:28:42.845 +03:00 [DBG] Car 17 reached spline end, despawning
2026-06-07 04:32:35.167 +03:00 [DBG] Car 10 reached spline end, despawning
2026-06-07 04:32:51.518 +03:00 [DBG] Car 5 reached spline end, despawning
2026-06-07 04:33:01.260 +03:00 [DBG] Car 8 reached spline end, despawning
2026-06-07 04:33:01.771 +03:00 [DBG] Car 9 reached spline end, despawning
2026-06-07 04:33:02.798 +03:00 [DBG] Car 12 reached spline end, despawning
2026-06-07 04:33:03.310 +03:00 [DBG] Car 3 reached spline end, despawning
2026-06-07 04:33:04.848 +03:00 [DBG] Car 20 reached spline end, despawning
2026-06-07 04:33:05.872 +03:00 [DBG] Car 11 reached spline end, despawning
2026-06-07 04:33:09.452 +03:00 [DBG] Car 1 reached spline end, despawning
2026-06-07 04:33:22.222 +03:00 [DBG] Car 18 reached spline end, despawning
